group,entities/0/geoId,entities/0/destinationId,entities/0/landmarkCityDestinationId,entities/0/type,entities/0/redirectPage,entities/0/latitude,entities/0/longitude,entities/0/searchDetail,entities/0/caption,entities/0/name
CITY_GROUP,3560,427497,,CITY,DEFAULT_PAGE,0.7727087622198128,-77.76355769869984,,"Tulcan, Carchi, Ecuador",Tulcan
CITY_GROUP,739209841582960640,739209841582960640,,CITY,DEFAULT_PAGE,0.7048655645488515,-77.96088528746144,,"La Libertad, Carchi, Ecuador",La Libertad
CITY_GROUP,739209053681692672,739209053681692672,,CITY,DEFAULT_PAGE,0.9962967586680864,-78.26126387737317,,"Chical, Carchi, Ecuador",Chical
CITY_GROUP,553248635975871986,12465213,,CITY,DEFAULT_PAGE,0.5180926198560285,-77.84750822117506,,"La Paz, Carchi, Ecuador",La Paz
CITY_GROUP,6351118,1902421,,CITY,DEFAULT_PAGE,0.6434494730829735,-77.97236077353128,,"El Angel, Carchi, Ecuador",El Angel
CITY_GROUP,739209487228481536,739209487228481536,,CITY,DEFAULT_PAGE,0.630755298229135,-77.72425658004336,,"Huaca, Carchi, Ecuador",Huaca
CITY_GROUP,553248635975862497,12458536,,CITY,DEFAULT_PAGE,0.572727766413529,-77.82062947926285,,"San Gabriel, Carchi, Ecuador",San Gabriel
CITY_GROUP,739208413597515776,739208413597515776,,CITY,DEFAULT_PAGE,0.6119293202720327,-77.99508758758779,,"San Isidro, Carchi, Ecuador",San Isidro
CITY_GROUP,739209396035465216,739209396035465216,,CITY,DEFAULT_PAGE,0.6595225193010943,-77.60754146546024,,"El Carmelo, Carchi, Ecuador",El Carmelo
CITY_GROUP,739209693736878080,739209693736878080,,CITY,DEFAULT_PAGE,0.39696617543228496,-77.8433249328579,,"Monte Olivo, Carchi, Ecuador",Monte Olivo
CITY_GROUP,739208793484017664,739208793484017664,,CITY,DEFAULT_PAGE,0.5597588390556725,-78.04776069354855,,"Mira, Mira, Carchi, Ecuador",Mira
CITY_GROUP,739209416791146496,739209416791146496,,CITY,DEFAULT_PAGE,0.6580237153967372,-78.1108533544168,,"Concepcion, Carchi, Ecuador",Concepcion
CITY_GROUP,739208238636609536,739208238636609536,,CITY,DEFAULT_PAGE,0.4827475087625878,-77.95735611588422,,"Los Andes, Carchi, Ecuador",Los Andes
CITY_GROUP,739208179099652096,739208179099652096,,CITY,DEFAULT_PAGE,1.0184262975517717,-78.4271522155844,,"Tobar Donos, Carchi, Ecuador",Tobar Donos
CITY_GROUP,739209622788128768,739209622788128768,,CITY,DEFAULT_PAGE,0.7623168612111544,-77.87031034259289,,"Tufiño, Carchi, Ecuador",Tufiño
HOTEL_GROUP,,,,,,,,,,
LANDMARK_GROUP,,,,,,,,,,
TRANSPORT_GROUP,,,,,,,,,,
