group,entities/0/geoId,entities/0/destinationId,entities/0/landmarkCityDestinationId,entities/0/type,entities/0/redirectPage,entities/0/latitude,entities/0/longitude,entities/0/searchDetail,entities/0/caption,entities/0/name
CITY_GROUP,553248635975863413,12494931,,CITY,DEFAULT_PAGE,0.37865339162161954,-78.15728623728819,,"Imbaya, Imbabura, Ecuador",Imbaya
CITY_GROUP,180439,10341234,,CITY,DEFAULT_PAGE,0.363453,-78.124128,,"Ibarra, Ibarra, Imbabura, Ecuador",Ibarra
CITY_GROUP,553248635964618297,11392156,,CITY,DEFAULT_PAGE,0.2666619349795852,-78.12797816680273,,"La Esperanza, Imbabura, Ecuador",La Esperanza
CITY_GROUP,180683,426858,,CITY,DEFAULT_PAGE,0.21518071998467816,-78.26677047776026,,"Otavalo, Otavalo, Imbabura, Ecuador",Otavalo
CITY_GROUP,739209139973664768,739209139973664768,,CITY,DEFAULT_PAGE,0.7818255490115543,-78.38526349484115,,"Lita, Imbabura, Ecuador",Lita
CITY_GROUP,648619800488419328,648619800488419328,,CITY,DEFAULT_PAGE,0.29808219457766194,-78.78756682843544,,"García Moreno, Imbabura, Ecuador",García Moreno
CITY_GROUP,739209835013586944,739209835013586944,,CITY,DEFAULT_PAGE,0.4935986743800412,-78.13839996912556,,"Salinas, Imbabura, Ecuador",Salinas
CITY_GROUP,553248635964618510,11394215,,CITY,DEFAULT_PAGE,0.22047257877382412,-78.08225673689789,,"Angochagua, Imbabura, Ecuador",Angochagua
CITY_GROUP,739208211981549568,739208211981549568,,CITY,DEFAULT_PAGE,0.4244770963065951,-78.4234976559305,,"Apuela, Imbabura, Ecuador",Apuela
CITY_GROUP,6351089,1902392,,CITY,DEFAULT_PAGE,0.40865335230789923,-78.02079457395298,,"Ambuqui, Imbabura, Ecuador",Ambuqui
CITY_GROUP,739208999792439296,739208999792439296,,CITY,DEFAULT_PAGE,0.42476700433688436,-78.26533077437949,,"San Blas, Imbabura, Ecuador",San Blas
CITY_GROUP,6326198,432589,,CITY,DEFAULT_PAGE,0.45635094456871034,-78.19578106615857,,"Tumbabiro, Imbabura, Ecuador",Tumbabiro
CITY_GROUP,739209165633507328,739209165633507328,,CITY,DEFAULT_PAGE,0.3639697181852287,-77.87578585200076,,"Chuga, Imbabura, Ecuador",Chuga
CITY_GROUP,739208536171687936,739208536171687936,,CITY,DEFAULT_PAGE,0.2664026980167939,-78.50460528504767,,"Selva Alegre, Imbabura, Ecuador",Selva Alegre
CITY_GROUP,739209109746503680,739209109746503680,,CITY,DEFAULT_PAGE,0.6534333630952722,-78.2306964660524,,"Carolina, Imbabura, Ecuador",Carolina
HOTEL_GROUP,,,,,,,,,,
LANDMARK_GROUP,,,,,,,,,,
TRANSPORT_GROUP,,,,,,,,,,
