group,entities/0/geoId,entities/0/destinationId,entities/0/landmarkCityDestinationId,entities/0/type,entities/0/redirectPage,entities/0/latitude,entities/0/longitude,entities/0/searchDetail,entities/0/caption,entities/0/name
CITY_GROUP,739209075957641216,739209075957641216,,CITY,DEFAULT_PAGE,-3.6394344211967353,-79.16831395316717,,"Urdaneta, Loja Province, Ecuador",Urdaneta
CITY_GROUP,553248635973463947,11403341,,CITY,DEFAULT_PAGE,-4.362287242855844,-80.25714249772747,,"Zapotillo, Zapotillo, Loja Province, Ecuador",Zapotillo
CITY_GROUP,739208770310778880,739208770310778880,,CITY,DEFAULT_PAGE,-3.7536272587413535,-79.37310779298699,,"Gualel, Loja Province, Ecuador",Gualel
CITY_GROUP,6141628,430835,,CITY,DEFAULT_PAGE,-4.279782518845229,-79.22828827501147,,"Vilcabamba, Loja Province, Ecuador",Vilcabamba
CITY_GROUP,553248635973466085,11399014,,CITY,DEFAULT_PAGE,-4.6543353997929895,-79.4439252024845,,"Jimbura, Loja Province, Ecuador",Jimbura
CITY_GROUP,739209559055679488,739209559055679488,,CITY,DEFAULT_PAGE,-3.492462417354487,-79.32495698683137,,"Lluzhapa, Loja Province, Ecuador",Lluzhapa
CITY_GROUP,739208910594658304,739208910594658304,,CITY,DEFAULT_PAGE,-3.5291942265345875,-79.42642033242456,,"Manu, Loja Province, Ecuador",Manu
HOTEL_GROUP,,,,,,,,,,
LANDMARK_GROUP,6266178,1769968,1746599,LANDMARK,DEFAULT_PAGE,-3.99648,-79.20131,,"Loja Cathedral, Loja, Loja Province, Ecuador",Loja Cathedral
LANDMARK_GROUP,553248621532375146,10518677,1746599,LANDMARK,DEFAULT_PAGE,-3.9981,-79.201163,,"Loja Music Museum, Loja, Loja Province, Ecuador",Loja Music Museum
LANDMARK_GROUP,553248621563843915,10450174,427461,LANDMARK,DEFAULT_PAGE,-3.632289,-79.221056,,"Waterfall of Sininkapak, Saraguro, Loja Province, Ecuador",Waterfall of Sininkapak
LANDMARK_GROUP,553248621532375140,10518672,1746599,LANDMARK,DEFAULT_PAGE,-3.9994,-79.203,,"Parque Universitario La Argelia, Loja, Loja Province, Ecuador",Parque Universitario La Argelia
LANDMARK_GROUP,6287406,1780809,430835,LANDMARK,DEFAULT_PAGE,-4.262117,-79.222736,,"Vilcabamba Church, Vilcabamba, Loja Province, Ecuador",Vilcabamba Church
LANDMARK_GROUP,6266170,1769967,1746599,LANDMARK,DEFAULT_PAGE,-3.989522,-79.204251,,"Loja City Gates, Loja, Loja Province, Ecuador",Loja City Gates
LANDMARK_GROUP,553248621563843914,10450127,427461,LANDMARK,DEFAULT_PAGE,-3.62201,-79.239702,,"Saraguro Market, Saraguro, Loja Province, Ecuador",Saraguro Market
TRANSPORT_GROUP,6029735,1666240,,AIRPORT,DEFAULT_PAGE,-3.995892,-79.371925,,"Loja, Ecuador (LOH-Camilo Ponce Enriquez)",Loja (LOH-Camilo Ponce Enriquez)
