group,entities/0/geoId,entities/0/destinationId,entities/0/landmarkCityDestinationId,entities/0/type,entities/0/redirectPage,entities/0/latitude,entities/0/longitude,entities/0/searchDetail,entities/0/caption,entities/0/name
CITY_GROUP,3000390832,10402549,,CITY,DEFAULT_PAGE,-0.464461,-77.890402,,"Baeza, Napo, Ecuador",Baeza
CITY_GROUP,6345302,429790,,CITY,DEFAULT_PAGE,-0.7331022857819212,-78.18111418484025,,"Archidona, Archidona, Napo, Ecuador",Archidona
CITY_GROUP,553248635975858881,12479359,,CITY,DEFAULT_PAGE,-0.9141816086668791,-78.15827474497614,,"Pano, Napo, Ecuador",Pano
CITY_GROUP,739208932558131200,739208932558131200,,CITY,DEFAULT_PAGE,-0.18575547525696082,-77.95658887366966,,"Oyacachi, Napo, Ecuador",Oyacachi
CITY_GROUP,739208336940609536,739208336940609536,,CITY,DEFAULT_PAGE,-0.4080088350713219,-77.67408596070212,,"Linares, Napo, Ecuador",Linares
CITY_GROUP,739208900902273024,739208900902273024,,CITY,DEFAULT_PAGE,-0.42319353294746587,-78.06502376372069,,"Cuyuja, Napo, Ecuador",Cuyuja
CITY_GROUP,3000005969,10380278,,CITY,DEFAULT_PAGE,-0.933333,-77.416702,,"Sunimón, Napo, Ecuador",Sunimón
CITY_GROUP,3000006049,10380308,,CITY,DEFAULT_PAGE,-0.6,-77.866699,,"Cosanga, Napo, Ecuador",Cosanga
CITY_GROUP,6132037,429844,,CITY,DEFAULT_PAGE,-0.6982762739500987,-77.82663614801466,,"Cotundo, Napo, Ecuador",Cotundo
CITY_GROUP,739208538348699648,739208538348699648,,CITY,DEFAULT_PAGE,-0.48656893518620087,-77.71582414264672,,"Sumaco, Napo, Ecuador",Sumaco
CITY_GROUP,739209106153697280,739209106153697280,,CITY,DEFAULT_PAGE,-1.0531881061995307,-78.17346245108789,,"Tálag, Napo, Ecuador",Tálag
HOTEL_GROUP,1832801,492581,,HOTEL,DEFAULT_PAGE,-0.36279,-78.148931,,"Termas de Papallacta, Papallacta, Napo, Ecuador",Termas de Papallacta
HOTEL_GROUP,31611357,1012563424,,HOTEL,DEFAULT_PAGE,-0.37871,-78.138774,,"Hosteria Pampallacta, Papallacta, Napo, Ecuador",Hosteria Pampallacta
HOTEL_GROUP,39204022,1255528704,,HOTEL,DEFAULT_PAGE,-0.376872,-78.180976,,"Termas El Pantanal, Papallacta, Napo, Ecuador",Termas El Pantanal
LANDMARK_GROUP,553248621564886284,10450417,430809,LANDMARK,DEFAULT_PAGE,-0.376555,-78.142784,,"Papallacta Church, Papallacta, Napo, Ecuador",Papallacta Church
TRANSPORT_GROUP,,,,,,,,,,
