group,entities/0/geoId,entities/0/destinationId,entities/0/landmarkCityDestinationId,entities/0/type,entities/0/redirectPage,entities/0/latitude,entities/0/longitude,entities/0/searchDetail,entities/0/caption,entities/0/name
CITY_GROUP,3623,426738,,CITY,DEFAULT_PAGE,-0.220299,-78.511714,,"Quito, Pichincha, Ecuador",Quito
CITY_GROUP,6326012,1800396,,NEIGHBORHOOD,DEFAULT_PAGE,-0.21968149866112982,-78.51275698475546,,"Quito Historic Center, Quito, Pichincha, Ecuador",Quito Historic Center
CITY_GROUP,3000006046,10380259,,CITY,DEFAULT_PAGE,-0.2,-78.433296,,"Cumbayá, Pichincha, Ecuador",Cumbayá
CITY_GROUP,6132883,10341448,,CITY,DEFAULT_PAGE,-0.053329,-78.774669,,"Mindo, Pichincha, Ecuador",Mindo
CITY_GROUP,6247494,427114,,CITY,DEFAULT_PAGE,-0.14069865641653118,-78.35476288619238,,"Tababela, Pichincha, Ecuador",Tababela
CITY_GROUP,6251594,430318,,CITY,DEFAULT_PAGE,-0.1674242776675274,-78.36962495595662,,"Puembo, Pichincha, Ecuador",Puembo
CITY_GROUP,553248635171464267,11075899,,CITY,DEFAULT_PAGE,0.1660780022961204,-78.86176526475326,,"Mashpi, Pacto, Pichincha, Ecuador",Mashpi
CITY_GROUP,6353439,1904707,,CITY,DEFAULT_PAGE,-0.05410230128899479,-78.34332932772412,,"Guayllabamba, Pichincha, Ecuador",Guayllabamba
CITY_GROUP,6246475,1760173,,CITY,DEFAULT_PAGE,-0.21982581067626938,-78.3947803661748,,"Tumbaco, Pichincha, Ecuador",Tumbaco
CITY_GROUP,6341511,428616,,CITY,DEFAULT_PAGE,-0.2812946151673215,-78.26746282452481,,"Pifo, Pichincha, Ecuador",Pifo
CITY_GROUP,553248635975102806,11403766,,CITY,DEFAULT_PAGE,0.15598836387180812,-79.2394691517776,,"Puerto Quito, Puerto Quito, Pichincha, Ecuador",Puerto Quito
CITY_GROUP,553248635975864238,12515586,,CITY,DEFAULT_PAGE,-0.44999999999999996,-78.33333300000001,,"Secas, Pintag, Pichincha, Ecuador",Secas
CITY_GROUP,553248635975860678,12488347,,CITY,DEFAULT_PAGE,-0.3334026427543562,-78.47820881046518,,"San Rafael, Pichincha, Ecuador",San Rafael
CITY_GROUP,553248635933027196,11410193,,CITY,DEFAULT_PAGE,-0.25290948306019445,-78.43763959454907,,"Guangopolo, Pichincha, Ecuador",Guangopolo
HOTEL_GROUP,,,,,,,,,,
LANDMARK_GROUP,553248633861906743,10802650,427519,LANDMARK,DEFAULT_PAGE,-0.684927,-78.437053,,"Cotopaxi Mountain, Machachi, Pichincha, Ecuador",Cotopaxi Mountain
TRANSPORT_GROUP,,,,,,,,,,
